id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes,points
288370278,2035,1730049945,10245,"{'contestId': 2035, 'index': 'E', 'name': 'Monster', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2300, 'tags': ['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'ternary search']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,4,1640,0,
288370170,2035,1730049929,10229,"{'contestId': 2035, 'index': 'E', 'name': 'Monster', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2300, 'tags': ['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'ternary search']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,4,202,0,
288369718,2035,1730049860,10160,"{'contestId': 2035, 'index': 'E', 'name': 'Monster', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2300, 'tags': ['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'ternary search']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,4,140,0,
288353010,2035,1730046947,7247,"{'contestId': 2035, 'index': 'E', 'name': 'Monster', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2300, 'tags': ['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'ternary search']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,4,125,102400,
288339325,2035,1730044614,4914,"{'contestId': 2035, 'index': 'D', 'name': 'Yet Another Real Number Problem', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 1800, 'tags': ['binary search', 'data structures', 'divide and conquer', 'greedy', 'implementation', 'math']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),OK,TESTS,19,265,56217600,
288333000,2035,1730043630,3930,"{'contestId': 2035, 'index': 'D', 'name': 'Yet Another Real Number Problem', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 1800, 'tags': ['binary search', 'data structures', 'divide and conquer', 'greedy', 'implementation', 'math']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,0,171,56115200,
288323609,2035,1730042380,2680,"{'contestId': 2035, 'index': 'C', 'name': 'Alya and Permutation', 'type': 'PROGRAMMING', 'points': 1000.0, 'rating': 1400, 'tags': ['bitmasks', 'constructive algorithms', 'math']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),OK,TESTS,7,155,2867200,
288300916,2035,1730040279,579,"{'contestId': 2035, 'index': 'B', 'name': 'Everyone Loves Tres', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 900, 'tags': ['constructive algorithms', 'greedy', 'math', 'number theory']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),OK,TESTS,6,61,0,
288295753,2035,1730039954,254,"{'contestId': 2035, 'index': 'A', 'name': 'Sliding', 'type': 'PROGRAMMING', 'points': 250.0, 'rating': 800, 'tags': ['implementation', 'math']}","{'contestId': 2035, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 400, 'startTimeSeconds': 1730039700}",C++17 (GCC 7-32),OK,TESTS,4,62,0,
288122285,2027,1729954277,977,"{'contestId': 2027, 'index': 'C', 'name': 'Add Zeros', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 1500, 'tags': ['brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'greedy']}","{'contestId': 2027, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'room': 1004, 'startTimeSeconds': 1729953300}",C++17 (GCC 7-32),OK,TESTS,16,874,47616000,
288116260,2027,1729953820,520,"{'contestId': 2027, 'index': 'B', 'name': 'Stalin Sort', 'type': 'PROGRAMMING', 'points': 1000.0, 'rating': 1100, 'tags': ['brute force', 'greedy']}","{'contestId': 2027, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'room': 1004, 'startTimeSeconds': 1729953300}",C++17 (GCC 7-32),OK,TESTS,10,62,102400,
288111522,2027,1729953502,202,"{'contestId': 2027, 'index': 'A', 'name': 'Rectangle Arrangement', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 800, 'tags': ['geometry', 'implementation', 'math']}","{'contestId': 2027, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'room': 1004, 'startTimeSeconds': 1729953300}",C++17 (GCC 7-32),OK,TESTS,3,62,102400,
287988574,2033,1729883741,2147483647,"{'contestId': 2033, 'index': 'E', 'name': 'Sakurako, Kosuke, and the Permutation', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'math']}","{'contestId': 2033, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1729780500}",C++17 (GCC 7-32),OK,TESTS,12,265,4096000,
