contestId,index,name,tags,rating,solved
2035,H,Peak Productivity Forces,['constructive algorithms'],3500.0,7
2035,G2,Go Learn! (Hard Version),"['divide and conquer', 'dp']",3500.0,29
2035,G1,Go Learn! (Easy Version),"['dp', 'trees']",3300.0,78
2035,F,Tree Operations,"['binary search', 'brute force', 'dfs and similar', 'dp', 'trees']",2500.0,535
2035,E,Monster,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'ternary search']",2300.0,777
2035,D,Yet Another Real Number Problem,"['binary search', 'data structures', 'divide and conquer', 'greedy', 'implementation', 'math']",1800.0,1034
2035,C,Alya and Permutation,"['bitmasks', 'constructive algorithms', 'math']",1400.0,1073
2035,B,Everyone Loves Tres,"['constructive algorithms', 'greedy', 'math', 'number theory']",900.0,1105
2035,A,Sliding,"['implementation', 'math']",800.0,1102
2033,G,Sakurako and Chefir,"['data structures', 'dfs and similar', 'dp', 'greedy', 'trees']",2200.0,259
2033,F,Kosuke's Sloth,"['brute force', 'math', 'number theory']",1800.0,312
2033,E,"Sakurako, Kosuke, and the Permutation","['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'math']",1400.0,298
2033,D,Kousuke's Assignment,"['data structures', 'dp', 'dsu', 'greedy', 'math']",1300.0,287
2033,C,Sakurako's Field Trip,"['dp', 'greedy', 'two pointers']",1400.0,292
2033,B,Sakurako and Water,"['brute force', 'constructive algorithms', 'greedy']",900.0,290
2033,A,Sakurako and Kosuke,"['constructive algorithms', 'implementation', 'math']",800.0,302
2032,F,Peanuts,"['combinatorics', 'dp', 'games', 'math']",2700.0,117
2032,E,Balanced,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'math']",2400.0,316
2032,D,Genokraken,"['constructive algorithms', 'data structures', 'graphs', 'implementation', 'interactive', 'trees', 'two pointers']",1800.0,495
2032,C,Trinity,"['binary search', 'math', 'sortings', 'two pointers']",1400.0,529
2032,B,Medians,"['constructive algorithms', 'greedy', 'implementation', 'math']",1100.0,525
2032,A,Circuit,"['greedy', 'implementation', 'math', 'number theory']",800.0,537
2030,G2,The Destruction of the Universe (Hard Version),"['combinatorics', 'math']",3100.0,52
2030,G1,The Destruction of the Universe (Easy Version),"['combinatorics', 'greedy', 'math']",2900.0,83
2030,F,Orangutan Approved Subarrays,"['binary search', 'data structures', 'dp', 'greedy', 'implementation', 'two pointers']",2400.0,301
2030,E,MEXimize the Score,"['combinatorics', 'data structures', 'dp', 'greedy', 'implementation', 'math']",2200.0,427
2030,D,QED's Favorite Permutation,"['data structures', 'implementation', 'sortings']",1700.0,533
2030,C,A TRUE Battle,"['brute force', 'games', 'greedy']",1100.0,543
2030,B,Minimise Oneness,"['combinatorics', 'constructive algorithms', 'games', 'math']",800.0,554
2030,A,A Gift From Orangutan,"['constructive algorithms', 'greedy', 'math', 'sortings']",800.0,559
2027,E2,Bit Game (Hard Version),"['bitmasks', 'dp', 'math']",3100.0,19
2027,E1,Bit Game (Easy Version),"['bitmasks', 'brute force', 'games', 'math']",2800.0,68
2027,D2,The Endspeaker (Hard Version),"['binary search', 'data structures', 'dp', 'greedy', 'implementation', 'two pointers']",2200.0,389
2027,D1,The Endspeaker (Easy Version),"['binary search', 'dp', 'graphs', 'greedy', 'implementation', 'two pointers']",1700.0,495
2027,C,Add Zeros,"['brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'greedy']",1500.0,496
2027,B,Stalin Sort,"['brute force', 'greedy']",1100.0,498
2027,A,Rectangle Arrangement,"['geometry', 'implementation', 'math']",800.0,519
2026,F,Bermart Ice Cream,"['data structures', 'dfs and similar', 'divide and conquer', 'dp', 'implementation', 'trees']",2700.0,77
2026,E,Best Subsequence,"['bitmasks', 'dfs and similar', 'flows', 'graph matchings', 'graphs']",2500.0,359
2026,D,Sums of Segments,"['binary search', 'data structures', 'dp', 'implementation', 'math']",1900.0,498
2026,C,Action Figures,"['binary search', 'brute force', 'constructive algorithms', 'data structures', 'greedy', 'implementation']",1500.0,530
2026,B,Black Cells,"['binary search', 'brute force', 'constructive algorithms', 'greedy']",1300.0,547
2026,A,Perpendicular Segments,"['constructive algorithms', 'geometry', 'greedy', 'math']",900.0,567
2025,G,Variable Damage,"['data structures', 'flows']",3000.0,71
2025,F,Choose Your Queries,"['constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",2700.0,341
2025,E,Card Game,"['combinatorics', 'dp', 'fft', 'greedy', 'math']",2200.0,561
2025,D,Attribute Checks,"['brute force', 'data structures', 'dp', 'implementation', 'math', 'two pointers']",1800.0,660
2025,C,New Game,"['binary search', 'brute force', 'greedy', 'implementation', 'sortings', 'two pointers']",1300.0,651
2025,B,"Binomial Coefficients, Kind Of","['combinatorics', 'dp', 'math']",1100.0,653
