handle,rank,oldRating,newRating
ainta,1,2975,3146
Radewoosh,2,3409,3428
snuke,3,2835,2974
maroonrk,5,3159,3183
Egor,8,2669,2796
Roundgod,9,2380,2585
WZYYN,11,2746,2832
Ra16bit,12,2396,2578
natsugiri,16,2671,2754
jklepec,21,2325,2490
nuip,22,2640,2712
Um_nik,23,3113,3060
jiangly,26,2828,2839
hos.lyric,27,2809,2823
dario2994,30,2402,2520
ShadowLight,31,2452,2553
hitman623,33,2237,2397
ImpcO,34,2146,2334
izban,37,2868,2847
Lawali,38,2175,2345
lumibons,39,2734,2743
fedoseev.timofey,40,2670,2694
kdh9949,41,2568,2618
TadijaSebez,42,2547,2601
Golovanov399,44,2796,2782
qazswedx2,47,2316,2426
neko_nyaaaaaaaaaaaaaaaaa,48,2355,2452
nikgaevoy,52,2323,2422
amnesiac_dusk,52,2465,2524
madhav_1999,56,2007,2205
BigBag,61,2622,2629
buko,63,2250,2358
codelegend,66,2392,2455
Sorto,67,2189,2310
Reyna,68,2823,2774
user202729_,71,2561,2574
kmjp,76,2566,2573
AlesyaIvanova,77,2284,2366
lzoilxy,82,2039,2193
Fly_37,83,2148,2265
SecondThread,84,2303,2372
Ilya_MSU,86,2297,2366
Fugtemypt,87,1944,2128
p_b_p_b,88,2035,2185
Umi,89,2510,2518
RobeZH,91,2326,2382
math957963,91,2255,2331
Jimanbanashi,93,2103,2225
gop2024,94,2783,2721
pwild,99,2424,2448
paula,105,2356,2393
noimi,107,2427,2443
usachevd0,107,2368,2400
memset0c,109,2480,2481
cuom1999,109,2185,2267
m_99,113,2029,2159
allllekssssa,116,2124,2220
Ali.Kh,119,2405,2419
PuRpLe_FoReVeR,122,2138,2224
RNS_CUS,126,2454,2451
Cyanic,127,2487,2475
Motarack,128,2318,2349
tfg,130,2445,2442
Dilute,134,2221,2275
ChickenInKitchen,135,2026,2139
uwi,139,2612,2563
zidder,143,2036,2141
kzyKT,143,2098,2182
majk,143,2814,2715
loan,146,2246,2285
Rebelz,148,2462,2445
darnley,154,2571,2524
Svyat,155,2208,2253
-is-this-fft-,162,2133,2196
FoodSheep,166,2211,2249
LJC00118,168,2486,2453
ArshiaDadras,169,1976,2086
AndreySergunin,170,2737,2644
nagpaljatin1411,173,1977,2084
candlestick,176,2096,2162
HIR180,179,2830,2712
Martin53,180,2549,2495
jschnei,182,2334,2331
awoo,187,2187,2221
fsshakkhor,188,2142,2188
Savior-of-Cross,193,2089,2149
Akulyat,195,2308,2305
Tutis,204,2378,2355
Zain,207,2051,2115
espr1t,209,2016,2091
Jatana,210,2392,2363
daniel14311531,211,2095,2144
lebowski998,211,2521,2461
socho,213,2006,2082
Rubikun,214,2162,2190
jo_on,224,2193,2208
JOHNKRAM,225,2737,2623
Isoeasy,226,2373,2342
emthrm,227,2143,2170
raoxj,230,2164,2185
YeongTree,233,1943,2030
Shayan,234,2751,2631
Apsara,235,2175,2190
RDDCCD,236,2292,2277
lungualex00,237,1988,2058
Kilani,239,2320,2297
shogier,240,1977,2049
icecuber,243,2571,2488
Tima,244,2434,2382
sys.,247,2238,2232
_Ash__,250,2351,2316
Taube,252,2110,2136
blyat,254,2173,2181
Ferume,255,2149,2163
nishkarsh,256,1900,1991
oversolver,258,2300,2275
budalnik,259,2771,2639
Noureldin,261,1943,2017
abeker,262,2250,2236
ne4eHbKa,264,2049,2088
Onjo,265,2227,2217
dreamoon_love_AA,267,2829,2683
DimmyT,269,1932,2006
bicsi,270,2602,2503
gmh77,272,2139,2149
lessmeaning,274,2264,2241
ksun48,274,2942,2770
duality,274,2644,2534
Keshi,278,1949,2013
titia,281,1978,2031
Mucosolvan,281,2004,2049
antontrygubO_o,283,2390,2335
enoone,287,2293,2259
aryanc403,289,2220,2203
InkyFlameMaster,289,2296,2260
nong,292,2241,2218
tatyam,293,2409,2347
aarr,295,2066,2086
saketh,298,2497,2414
IF_IR_A_1_IR,299,2022,2054
Arayi,301,1926,1987
schtamas,304,2316,2271
FelixMP,305,2002,2037
mkisic,305,2076,2090
popashka,310,1916,1977
mbalsells,311,1943,1994
Soul_Full_Of_Thunder,311,2008,2039
amazing_rat,313,1989,2025
Dalenator,314,1963,2007
abisheka,316,2052,2068
777777777Plus,319,1924,1978
Uzumaki_Narutoo,322,2010,2036
fuppy,326,2413,2339
balakrishnan,330,1972,2006
AutumnKite,332,2018,2037
k24,332,2007,2029
bvd,332,2089,2089
_42,332,2260,2219
zx2003,337,2664,2534
krauch,338,2076,2078
little_misfortune,339,2164,2144
Purple_wzy,340,1917,1964
ayk16,343,1939,1978
HCPS42,343,2013,2030
Sugarii,348,1966,1995
_LeMur_,354,2116,2103
ghost_of_sparta1,355,1917,1958
alireza_kaviani,357,2128,2111
ANZ,360,2120,2102
achvanov,365,2048,2048
Kodaman,366,1903,1944
evildanlapokin,368,1999,2010
amanbol,370,1900,1940
Ashishgup,373,2343,2272
PavelKunyavskiy,374,2856,2679
Vingying0,375,2027,2029
zmwang,377,1904,1939
CepryH9,377,2092,2076
LiM_256,380,2120,2097
DDUDUDDUDU,381,1912,1943
Honour_34,381,2029,2026
darkkcyan,389,2199,2155
Dup4,389,2131,2102
wleung_bvg,393,2172,2132
MarcosK,395,2132,2101
GreatEagle,396,2070,2053
mahdi.hasnat,396,2021,2016
talant,398,2127,2096
rafaelgo,398,2047,2035
fake123_loves_me,409,2131,2095
pavlekn,413,2060,2039
Mr_Wu,418,1923,1937
kzvd4729,419,2149,2106
egekabas,423,1949,1953
hzwer,424,2173,2124
MrLolthe1st,425,1912,1926
Degalat57,426,2307,2230
Rahul,431,1969,1965
Atreus,433,2581,2447
swapnil159,433,2013,1997
Anachor,435,2364,2273
Stelutzu,435,2109,2070
peti1234,438,2198,2140
flashmt,439,2408,2307
okwedook,439,2036,2012
ddytxdy,447,2147,2097
KDTree,451,2145,2093
Changyu,456,2031,2003
_no0B,457,2245,2172
achi_basadzishvili,461,2148,2093
StarCuriosity,465,2325,2235
JustasZ,468,2075,2033
Mustang98,473,2251,2173
sansen,476,2369,2268
rama_pang,480,1991,1964
leaf1415,482,2266,2182
Nanako,482,2009,1976
Pa.Nic,482,2050,2008
lahlah,482,1919,1907
nantf,486,2208,2135
