handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
tourist,4009,4009,1265987288,3,64,205,51,27,103,336,3,19,308,180,55,107,212,274,43,10,154,137,3,76,29,62,381,8,5,20,79,24,172,176,38,35,136,89,50,2648.0,13.077685185185185,13.077685185185185,13.077685185185185,82.95268518518519,216.99435185185186,266.0360185185185,347.0360185185185,464.0012962962963
jiangly,3831,3904,1547985852,2,152,425,87,45,198,649,14,44,638,337,118,214,376,547,79,19,342,301,8,150,61,105,746,23,4,34,145,58,337,376,63,108,288,178,97,6323.0,0.0005555555555555556,0.0005555555555555556,0.0005555555555555556,99.10472222222222,138.00055555555556,166.12555555555556,173.10472222222222,303.1047222222222
Radewoosh,3646,3759,1385208270,1,54,218,46,19,101,290,8,24,291,173,52,90,197,249,31,10,129,131,4,79,34,55,338,5,2,18,53,26,150,145,27,44,116,80,46,3631.0,276.08020833333336,276.08020833333336,276.08020833333336,309.14618055555553,451.1878472222222,625.184375,637.184375,888.1878472222222
Benq,3620,3833,1435099979,3,67,287,91,51,136,460,10,38,500,286,106,140,291,336,50,11,176,201,6,113,70,94,557,10,2,33,80,59,192,199,46,79,199,132,54,3520.0,20.678483796296295,20.678483796296295,221.6333449074074,365.73751157407406,522.7375115740741,662.6958449074074,662.6958449074074,792.7375115740741
jqdai0815,3620,3681,1306208507,1,31,120,34,13,50,204,2,14,169,122,34,53,145,152,22,3,83,60,3,44,25,44,213,8,0,11,39,20,110,93,22,21,84,61,30,1583.0,45.470983796296295,45.470983796296295,75.30431712962962,516.1445949074074,934.4293171296297,1244.2209837962962,1316.4709837962962,1350.5334837962962
Geothermal,3569,3569,1472068592,0,101,295,37,24,142,367,10,16,334,183,65,128,216,352,48,12,206,172,5,73,17,56,409,10,1,15,78,23,211,236,30,73,155,103,60,3293.0,103.77671296296296,252.78712962962962,333.77671296296296,491.8218518518519,928.8600462962963,990.776712962963,1059.8183796296296,1426.776712962963
cnnfls_csy,3569,3690,1484718710,0,19,52,10,9,29,93,1,7,107,51,22,24,61,70,17,0,42,43,0,21,7,17,110,2,2,12,30,11,55,56,8,13,38,16,9,832.0,15.321643518518519,15.321643518518519,150.36331018518518,376.3633101851852,570.3216435185185,923.3633101851852,923.3633101851852,1806.4049768518519
orzdevinwang,3529,3697,1583069392,0,54,230,34,34,91,340,3,27,301,182,64,113,206,262,35,10,114,120,5,84,60,70,383,3,0,37,71,56,145,149,45,58,155,97,52,1800.0,3.0452314814814816,139.81259259259258,139.81259259259258,164.0452314814815,230.8160648148148,384.9931481481481,384.9931481481481,455.0452314814815
gyh20,3447,3447,1573039528,2,32,142,15,18,58,213,4,18,190,117,32,63,131,169,15,10,71,81,1,45,25,35,235,8,1,12,46,28,98,94,21,36,104,67,34,1234.0,53.110787037037035,53.110787037037035,53.110787037037035,60.110787037037035,156.13162037037037,339.142037037037,534.1316203703703,657.1316203703703
ecnerwala,3446,3668,1340834919,0,53,213,42,24,90,292,6,31,284,166,46,88,183,255,32,6,124,128,4,50,31,52,340,9,1,15,61,22,142,156,27,62,123,77,37,3053.0,13.723159722222222,13.723159722222222,32.72315972222222,237.72315972222222,318.61899305555556,500.78565972222225,764.7231597222222,814.6189930555555
Rebelz,3409,3415,1515577587,0,29,130,31,20,44,172,5,20,229,108,39,64,124,142,17,5,68,71,3,43,29,33,206,6,1,14,38,18,86,82,10,28,74,41,24,1500.0,3.1378819444444446,3.1378819444444446,38.012881944444445,200.93649305555556,366.2003819444444,451.0753819444444,644.2003819444444,718.1795486111112
